50
41 1
11 8
45 35
28 15
5 11
35 20
20 25
19 17
40 18
23 24
19 32
46 6
19 26
41 37
46 38
20 47
28 49
7 1
12 34
13 23
14 7
3 20
25 29
6 27
36 2
19 46
5 3
25 9
14 30
9 4
15 7
39 7
10 38
23 49
34 4
47 44
26 38
5 22
44 31
10 47
21 33
1 19
37 10
8 4
30 44
11 22
7 10
42 4
27 49
18 44
21 48
20 2
11 26
44 29
39 11
22 10
8 27
43 13
49 24
34 33
18 21
37 15
4 37
49 12
12 8
48 25
35 42
17 13
27 28
15 34
29 22
2 39
1 42
20 19
2 5
46 2
22 43
6 43
5 16
37 23
44 23
11 25
39 14
3 48
47 25
17 18
17 11
14 25
38 5
28 7
11 44
22 30
16 1
27 48
37 8
18 12
17 39
41 2
49 35
10 48
37 2
8 49
20 34
12 33
16 29
8 45
40 23
10 35
6 40
46 14
16 2
28 38
9 15
44 4
25 21
30 37
6 30
39 36
15 43
12 39
22 26
49 34
